Place,Tank,Treat,Plant.treat,Hyacinth,Chop,Manage.treat,Week,Date,Plant.mass,Cercs,Peri,,,,,,
,38,Hyacinth.none,Hyacinth,1,0,none,6,,500,488,599.2,,,,,,
,39,Hyacinth.remove,Hyacinth,1,0,remove,6,,450,782,912.8,,,,,,
,40,Hyacinth.chop,Hyacinth,1,1,chop,6,,450,744,201.3,,,,,,
,1,Control.none,Control,0,0,none,7,,NA,0,,,,,,,
,2,Hyacinth.remove,Hyacinth,1,0,remove,7,,500,5,,,,,,,
,3,Hyacinth.none,Hyacinth,1,0,none,7,,500,109,,,,,,,
,4,Control.chop,Control,0,1,chop,7,,NA,15,,,,,,,
,5,Control.chop,Control,0,1,chop,7,,NA,0,,,,,,,
,6,Control.chop,Control,0,1,chop,7,,NA,0,,,,,,,
,7,Control.chop,Control,0,1,chop,7,,NA,0,,,,,,,
,8,Control.none,Control,0,0,none,7,,NA,9,,,,,,,
,9,Hyacinth.remove,Hyacinth,1,0,remove,7,,700,0,,,,,,,
,10,Hyacinth.none,Hyacinth,1,0,none,7,,800,0,,,,,,,
,12,Hyacinth.none,Hyacinth,1,0,none,7,,600,0,,,,,,,
,13,Control.chop,Control,0,1,chop,7,,NA,0,,,,,,,
,14,Hyacinth.remove,Hyacinth,1,0,remove,7,,500,0,,,,,,,
,15,Control.none,Control,0,0,none,7,,NA,2,,,,,,,
,16,Hyacinth.none,Hyacinth,1,0,none,7,,550,1,,,,,,,
,17,Hyacinth.chop,Hyacinth,1,1,chop,7,,900,0,,,,,,,
,18,Hyacinth.none,Hyacinth,1,0,none,7,,700,0,,,,,,,
,19,Control.chop,Control,0,1,chop,7,,NA,0,,,,,,,
,20,Hyacinth.none,Hyacinth,1,0,none,7,,500,0,,,,,,,
,21,Hyacinth.chop,Hyacinth,1,1,chop,7,,850,25,,,,,,,
,22,Control.none,Control,0,0,none,7,,NA,1,,,,,,,
,23,Control.chop,Control,0,1,chop,7,,NA,0,,,,,,,
,27,Hyacinth.remove,Hyacinth,1,0,remove,7,,900,0,,,,,,,
,28,Control.none,Control,0,0,none,7,,NA,2,,,,,,,
,29,Control.none,Control,0,0,none,7,,NA,101,,,,,,,
,30,Hyacinth.chop,Hyacinth,1,1,chop,7,,750,580,,,,,,,
,31,Hyacinth.remove,Hyacinth,1,0,remove,7,,600,0,,,,,,,
,32,Hyacinth.chop,Hyacinth,1,1,chop,7,,550,16,,,,,,,
,33,Hyacinth.chop,Hyacinth,1,1,chop,7,,400,589,,,,,,,
,34,Hyacinth.chop,Hyacinth,1,1,chop,7,,450,17,,,,,,,
,35,Control.none,Control,0,0,none,7,,NA,2,,,,,,,
,36,Hyacinth.remove,Hyacinth,1,0,remove,7,,500,0,,,,,,,
,37,Hyacinth.remove,Hyacinth,1,0,remove,7,,450,0,,,,,,,
,38,Hyacinth.none,Hyacinth,1,0,none,7,,500,23,,,,,,,
,39,Hyacinth.remove,Hyacinth,1,0,remove,7,,500,691,,,,,,,
,40,Hyacinth.chop,Hyacinth,1,1,chop,7,,500,367,,,,,,,
,1,Control.none,Control,0,0,none,8,,NA,0,3576,,,,,,
,2,Hyacinth.remove,Hyacinth,0,0,remove,8,,NA,0,1956,,,,,,
,3,Hyacinth.none,Hyacinth,1,0,none,8,,550,28,213.1,,,,,,
,4,Control.chop,Control,1,1,chop,8,,NA,246,4518,,,,,,
,5,Control.chop,Control,1,1,chop,8,,NA,0,9572,,,,,,
,6,Control.chop,Control,1,1,chop,8,,NA,0,15117,,,,,,
,7,Control.chop,Control,1,1,chop,8,,NA,0,7743,,,,,,
,8,Control.none,Control,0,0,none,8,,NA,0,6363,,,,,,
,9,Hyacinth.remove,Hyacinth,0,0,remove,8,,NA,0,567.2,,,,,,
,10,Hyacinth.none,Hyacinth,1,0,none,8,,1100,0,1213,,,,,,
,12,Hyacinth.none,Hyacinth,1,0,none,8,,750,0,1055,,,,,,
,13,Control.chop,Control,1,1,chop,8,,NA,0,8408,,,,,,
,14,Hyacinth.remove,Hyacinth,0,0,remove,8,,NA,0,1066,,,,,,
,15,Control.none,Control,0,0,none,8,,NA,0,1628,,,,,,
,16,Hyacinth.none,Hyacinth,1,0,none,8,,700,0,982.3,,,,,,
,17,Hyacinth.chop,Hyacinth,0,1,chop,8,,NA,0,1063,,,,,,
,18,Hyacinth.none,Hyacinth,1,0,none,8,,800,0,1791,,,,,,
,19,Control.chop,Control,1,1,chop,8,,NA,0,44145,,,,,,
,20,Hyacinth.none,Hyacinth,1,0,none,8,,650,0,2288,,,,,,
,21,Hyacinth.chop,Hyacinth,0,1,chop,8,,NA,0,1954,,,,,,
,22,Control.none,Control,0,0,none,8,,NA,0,15759,,,,,,
,23,Control.chop,Control,1,1,chop,8,,NA,0,27585,,,,,,
,27,Hyacinth.remove,Hyacinth,0,0,remove,8,,NA,0,686.8,,,,,,
,28,Control.none,Control,0,0,none,8,,NA,0,5723,,,,,,
,29,Control.none,Control,0,0,none,8,,NA,69,3724,,,,,,
,30,Hyacinth.chop,Hyacinth,0,1,chop,8,,NA,102,2936,,,,,,
,31,Hyacinth.remove,Hyacinth,0,0,remove,8,,NA,0,1970,,,,,,
,32,Hyacinth.chop,Hyacinth,0,1,chop,8,,NA,0,3156,,,,,,
,33,Hyacinth.chop,Hyacinth,0,1,chop,8,,NA,83,2704,,,,,,
,34,Hyacinth.chop,Hyacinth,0,1,chop,8,,NA,0,2185,,,,,,
,35,Control.none,Control,0,0,none,8,,NA,0,5907,,,,,,
,36,Hyacinth.remove,Hyacinth,0,0,remove,8,,NA,0,1382,,,,,,
